hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8404,315626.2318470646,6.3438251269858394,637897.1774862198,0.0,0.0
8405,295105.62863829394,6.331263097031412,634188.8662436728,0.0,0.0
8406,342449.26275019906,6.368949186894695,645313.799971314,0.0,0.0
8407,444580.25989385694,6.406635276757976,656438.7336989546,0.0,0.0
8408,436044.0906504728,7.223167223795758,942503.0179489006,0.0,0.0
8409,373578.7005876481,7.399035643157741,1011302.7436033082,0.0,0.0
8410,403759.3225799019,7.763334511836136,1166877.8528173687,0.0,0.0
8411,471894.7726825286,7.084984894297056,888446.0906490085,0.0,0.0
8412,454917.8388704354,6.318701067076985,630480.5550011259,0.0,0.0
8413,376282.5467229376,5.627789419583478,437243.1013770386,0.0,0.0
8414,352717.6720022005,5.087622131543099,311487.1620551851,41230.50994701538,41230.50994701538
8415,383413.69768044783,4.673075143046995,232368.90609177182,151044.79158867602,151044.79158867602
8416,411060.1741981764,3.9570394356446323,120947.83763180877,290112.33656636765,290112.33656636765
8417,442457.05314872926,3.1781935784701334,38881.03490537174,403576.01824335754,403576.01824335754
8418,454612.929399741,3.2661277881511253,46619.24535729902,407993.684042442,407993.684042442
8419,466308.7802003895,3.2786898181055526,47724.703993288625,418584.0762071009,418584.0762071009
8420,392352.1715069601,3.366624027786545,55462.91444521596,336889.25706174417,336889.25706174417
8421,450609.0500814834,3.517368387239673,69242.52233938556,381366.52774209785,381366.52774209785
8422,380705.73290602793,3.63042665682952,82538.17484315156,298167.55806287634,298167.55806287634
8423,333658.02700615634,3.5801785370118107,76628.99595258894,257029.0310535674,257029.0310535674
8424,286644.7961216073,3.4419962075131094,62095.66626115362,224549.1298604537,224549.1298604537
8425,289290.8786554256,3.379186057740972,56568.37308120552,232722.5055742201,232722.5055742201
8426,297838.10933786246,3.7057988365560846,91401.94317899554,206436.16615886692,206436.16615886692
8427,338212.71988006524,3.96960146559906,122425.13235444948,215787.58752561576,215787.58752561576
8428,296378.5159282263,3.9570394356446323,120947.83763180877,175430.67829641752,175430.67829641752
8429,322758.5748358484,3.8942292858724956,113561.36401860548,209197.2108172429,209197.2108172429
8430,351410.80511420395,3.9444774056902054,119470.54290916816,231940.26220503577,231940.26220503577
8431,447426.4110005599,3.994725525507915,125379.72179973079,322046.68920082913,322046.68920082913
8432,418575.61643453216,4.195718004778753,155279.41351490142,263296.20291963074,263296.20291963074
8433,416781.9969523056,4.170593944869898,151520.85415253678,265261.14279976883,265261.14279976883
8434,386764.3568042616,3.9444774056902054,119470.54290916816,267293.81389509345,267293.81389509345
8435,453209.6059658516,3.68067477664723,88447.35373371423,364762.25223213737,364762.25223213737
8436,429500.5254786673,3.2912518480599804,48830.162629278275,380670.362849389,380670.362849389
8437,379371.5777819516,2.7510845600196014,11650.323584909505,367721.2541970421,367721.2541970421
8438,362302.4969977983,2.135545092252659,0.0,362302.4969977983,362302.4969977983
8439,387806.7227383236,1.5451296843945708,0.0,387806.7227383236,387806.7227383236
8440,372112.5636967576,0.8919041267643457,0.0,372112.5636967576,372112.5636967576
8441,417855.0639052446,0.5024811981770962,0.0,417855.0639052446,417855.0639052446
8442,484766.95234654617,0.5401672880403784,0.0,484766.95234654617,484766.95234654617
8443,502834.2015969404,0.9421522465820553,0.0,502834.2015969404,502834.2015969404
8444,437415.5267040079,1.4697575046680063,0.0,437415.5267040079,437415.5267040079
8445,441118.5039979038,1.9722387028451027,0.0,441118.5039979038,441118.5039979038
8446,402300.484383048,2.449595841113344,0.0,402300.484383048,402300.484383048
8447,327825.87722311256,2.9395150093360125,20393.49643319098,307432.38078992156,307432.38078992156
8448,268441.0946856362,3.4043101176498265,58779.29035318473,209661.8043324515,209661.8043324515
8449,442078.5708044119,3.7686089863282213,98788.41679219883,343290.15401221305,343290.15401221305
8450,406990.0887153668,4.095221765143334,140245.17606544276,266744.91264992405,266744.91264992405
8451,381115.5787056044,4.384148454095165,183468.60873263664,197646.96997296778,197646.96997296778
8452,358266.4572393102,4.572578903411576,214038.39198227142,144228.06525703878,144228.06525703878
8453,350328.3011295618,4.69819920295585,236951.53461914707,113376.76651041472,113376.76651041472
