hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
4298,331457.1218451703,8.304904224900628,699629.887229132,368172.7653839617,446,98000000.0
4299,312506.4478250391,8.618955225001912,763011.1643903602,450504.71656532114,446,98000000.0
4300,287323.22273597546,8.374693336034246,714285.6005671917,426962.37783121626,446,98000000.0
4301,331159.3666757636,7.292962113463156,484903.38939339336,153744.02271762973,446,98000000.0
4302,379501.71262596216,7.2231730023295375,471252.6392556575,91750.92662969534,446,98000000.0
4303,354518.60729573364,7.921064113665725,618202.5306519258,263683.9233561922,446,98000000.0
4304,430175.6988261749,8.549166113868294,749862.8958527866,319687.1970266117,446,98000000.0
4305,358001.0557012764,8.967900780670005,828752.507078229,470751.4513769526,446,98000000.0
4306,351425.5304357837,9.107479002937243,851179.8000476358,499754.2696118521,446,98000000.0
4307,348859.26541223424,7.711696780264869,572057.970370377,223198.7049581427,446,98000000.0
4308,350251.5719464893,8.270009669333819,692302.030560102,342050.4586136127,446,98000000.0
4309,289245.8457449224,8.72363889170234,782733.5671967207,493487.72145179834,446,98000000.0
4310,301846.1439198656,9.316846336338099,883087.3816579262,581241.2377380606,446,98000000.0
4311,289003.6833151097,9.630897336439384,925817.5784849382,636813.8951698286,446,98000000.0
4312,901700.0924727324,9.87515922540705,953468.024316078,51767.931843345636,446,98000000.0
4313,431291.6326033886,10.39857755890919,993427.8258173156,562136.193213927,446,98000000.0
4314,457535.3743042492,10.852206781277713,1000000.0,542464.6256957508,446,98000000.0
4315,445809.137842767,10.747523114577284,1000000.0,554190.8621572331,446,98000000.0
4316,445299.1827127297,10.39857755890919,993427.8258173156,548128.6431045859,446,98000000.0
4317,483092.4219331629,10.224104781075143,982121.9898136694,499029.56788050645,446,98000000.0
4318,474369.2795547604,10.712628559010474,1000000.0,525630.7204452397,446,98000000.0
4319,390243.1488472112,10.503261225609617,1000000.0,609756.8511527888,446,98000000.0
4320,334980.8314111937,10.747523114577284,1000000.0,665019.1685888063,446,98000000.0
4321,319979.8318874911,11.061574114678566,1000000.0,680020.168112509,446,98000000.0
4322,352472.9896409904,11.480308781480279,1000000.0,647527.0103590096,446,98000000.0
4323,319220.4044431186,11.410519670346659,1000000.0,680779.5955568814,446,98000000.0
4324,368480.9021151735,11.305836003646233,1000000.0,631519.0978848265,446,98000000.0
4325,329169.5932539546,10.328788447775572,988905.4914158571,659735.8981619026,446,98000000.0
4326,321152.8080864739,10.677734003443664,1000000.0,678847.191913526,446,98000000.0
4327,388987.9521462739,11.061574114678566,1000000.0,611012.0478537261,446,98000000.0
4328,406970.8625880412,11.550097892613897,1000000.0,593029.1374119588,446,98000000.0
4329,401025.8739541237,11.58499244818071,1000000.0,598974.1260458763,446,98000000.0
4330,375679.4811315195,11.58499244818071,1000000.0,624320.5188684806,446,98000000.0
4331,386892.4201505938,11.759465226014752,1000000.0,613107.5798494061,446,98000000.0
4332,349397.81157401577,11.794359781581562,1000000.0,650602.1884259842,446,98000000.0
4333,273062.7957736131,11.82925433714837,1000000.0,726937.204226387,446,98000000.0
4334,275615.0381180476,11.864148892715182,1000000.0,724384.9618819524,446,98000000.0
4335,270137.990136867,12.10841078168285,1000000.0,729862.0098631331,446,98000000.0
4336,914232.2179519496,12.59693455961818,1000000.0,85767.78204805043,446,98000000.0
4337,446458.149605857,11.619887003747515,1000000.0,553541.850394143,446,98000000.0
4338,438431.17344504886,11.44541422591347,1000000.0,561568.8265549511,446,98000000.0
4339,477886.0139351143,11.131363225812185,1000000.0,522113.9860648857,446,98000000.0
4340,434008.51189824456,11.201152336945805,1000000.0,565991.4881017555,446,98000000.0
4341,439473.49843981024,10.014737447674285,968554.9866092937,529081.4881694835,446,98000000.0
4342,431668.1135231376,9.73558100313981,937667.7695554266,505999.65603228897,446,98000000.0
4343,392110.48981681216,9.491319114172146,909677.0329998351,517566.54318302294,446,98000000.0
4344,353799.75780253304,9.805370114273432,945567.8969357525,591768.1391332194,446,98000000.0
4345,327481.01602831297,10.084526558807905,973077.3210107522,645596.3049824393,446,98000000.0
4346,320557.6190359222,10.154315669941525,977599.6554122109,657042.0363762886,446,98000000.0
4347,311136.1463831574,9.944948336540667,961368.1516964036,650232.0053132463,446,98000000.0
4348,338407.7994188017,9.491319114172146,909677.0329998351,571269.2335810334,446,98000000.0
